date,staff_id,reason,old_asset_model,old_asset_serial_number,replaced_asset_model,replaced_asset_serial_number,hostname,issue,remarks
2025-06-12,790256940,new joiner,HP Book 2.0 Model,LAP-9E0BE01C55,HP Book 2.0 Model,LAP-9C340ACC5F,HOST-2161,hardware,Performance issue
2024-03-24,613511668,transfer,JBL Wireless Headset,WH-42AB58346D,JBL Wireless Headset,WH-1706C70382,HOST-2310,software,Device not powering on
2025-01-20,552651788,new joiner,HP Book 2.0 Model,LAP-2D8D802A32,HP Book 2.0 Model,LAP-28693AD74F,HOST-7814,software,Device not powering on
2024-05-03,868155245,transfer,Dell Laptop X12 Model,LAP-BF8A3A7B68,Dell Laptop X12 Model,LAP-6985FAE894,HOST-9667,hardware,Device not powering on
2025-03-19,716035302,breakfix,MacBook M2 Model,LAP-45415BB6B0,MacBook M2 Model,LAP-BD65973CD5,HOST-4537,hardware,Device not powering on
2025-06-02,360642799,new joiner,Dell Laptop X12 Model,LAP-AC63AC41CF,Dell Laptop X12 Model,LAP-B0A2E6BFBC,HOST-7313,hardware,Performance issue
2024-08-04,172962860,new joiner,Wireless Headset Cushion,WH-419B140D02,Wireless Headset Cushion,WH-904F00B233,HOST-5075,hardware,User requested replacement
2024-07-02,483298103,transfer,Dell Laptop X12 Model,LAP-A1A3B48BAD,Dell Laptop X12 Model,LAP-15624B78F3,HOST-2728,software,OS corruption
2024-02-05,258453521,new joiner,JBL Wireless Headset,WH-D0214B45AD,JBL Wireless Headset,WH-6881B6AEA2,HOST-7997,hardware,Performance issue
2025-07-24,164035859,new joiner,JBL Wireless Headset,WH-2EDBC2A86E,JBL Wireless Headset,WH-E6BD490138,HOST-7579,software,Performance issue
2024-07-27,778451941,new joiner,Dell Laptop X12 Model,LAP-42CC74387E,Dell Laptop X12 Model,LAP-9504B1C638,HOST-8258,software,Physical damage
2024-07-10,330635563,transfer,HP Book 2.0 Model,LAP-E249566185,HP Book 2.0 Model,LAP-F4F09A7D17,HOST-7090,software,OS corruption
2025-02-27,478301747,new joiner,Wireless Headset Cushion,WH-BEC0813B1E,Wireless Headset Cushion,WH-BC233379DB,HOST-4943,hardware,OS corruption
2024-07-10,709692870,new joiner,Dell Laptop X12 Model,LAP-1970813E94,Dell Laptop X12 Model,LAP-FF34989E18,HOST-5162,software,OS corruption
2024-10-23,677186272,transfer,JBL Wireless Headset,WH-9007613CE1,JBL Wireless Headset,WH-4BCD66AA0C,HOST-1003,hardware,Physical damage
2024-05-24,426551245,breakfix,Dell Laptop X12 Model,LAP-F461B01B49,Dell Laptop X12 Model,LAP-A6C5EF5D70,HOST-9480,hardware,Physical damage
2026-01-18,706912715,transfer,Lenovo Laptop 324 Model,LAP-6066A549E4,Lenovo Laptop 324 Model,LAP-9CE5CA077B,HOST-4635,hardware,Physical damage
2026-01-02,404007541,new joiner,Dell Laptop X12 Model,LAP-3A84BE6238,Dell Laptop X12 Model,LAP-91F8C1DE93,HOST-5521,hardware,Device not powering on
2025-12-17,432097676,transfer,Dell Laptop X12 Model,LAP-F1A2C4D8C5,Dell Laptop X12 Model,LAP-110D262661,HOST-6827,hardware,Performance issue
2025-04-28,179634081,transfer,Dell Laptop X12 Model,LAP-382508DC49,Dell Laptop X12 Model,LAP-9438E64567,HOST-5093,hardware,Physical damage
2025-03-23,831277972,breakfix,HP Book 2.0 Model,LAP-BB60892E04,HP Book 2.0 Model,LAP-CC58030957,HOST-7550,hardware,Device not powering on
2025-02-26,717199615,transfer,Dell Laptop X12 Model,LAP-C3EE420F8C,Dell Laptop X12 Model,LAP-DB3F588A23,HOST-3832,software,User requested replacement
2025-10-19,151791998,new joiner,HP Book 2.0 Model,LAP-485262D884,HP Book 2.0 Model,LAP-273884859D,HOST-5921,hardware,User requested replacement
2024-12-30,636784164,breakfix,JBL Wireless Headset,WH-FA3017E9FB,JBL Wireless Headset,WH-C71A76FE6E,HOST-1916,software,Physical damage
2024-11-06,206681214,transfer,Dell Laptop X12 Model,LAP-9C1904D152,Dell Laptop X12 Model,LAP-86E74382EC,HOST-2974,hardware,User requested replacement
2026-01-13,214949614,new joiner,HP Book 2.0 Model,LAP-41C228A005,HP Book 2.0 Model,LAP-9E8356326E,HOST-7266,hardware,Physical damage
2024-08-06,803321425,breakfix,JBL Wireless Headset,WH-9975A2E997,JBL Wireless Headset,WH-DDAB88B6FF,HOST-6231,hardware,Physical damage
2024-08-28,325177291,new joiner,HP Book 2.0 Model,LAP-3B6ED367B0,HP Book 2.0 Model,LAP-F92FBC0F15,HOST-4617,hardware,Device not powering on
2024-03-06,107871158,new joiner,Dell Laptop X12 Model,LAP-7178FAE6A7,Dell Laptop X12 Model,LAP-16C2B0D9D9,HOST-7436,software,User requested replacement
2024-06-14,950040559,new joiner,Wireless Headset Cushion,WH-5EE5D5FDA5,Wireless Headset Cushion,WH-D13C3735B7,HOST-2475,hardware,OS corruption
2025-04-03,365639987,transfer,Wireless Headset Cushion,WH-2BD6AA3BE2,Wireless Headset Cushion,WH-6AA9D69FC9,HOST-3425,hardware,Physical damage
2025-11-01,115424523,transfer,HP Book 2.0 Model,LAP-A4F6478897,HP Book 2.0 Model,LAP-8AAC3AF749,HOST-1807,software,Physical damage
2025-10-29,942776797,transfer,HP Book 2.0 Model,LAP-3E1D6266A5,HP Book 2.0 Model,LAP-8E39EF0ED0,HOST-9221,software,Performance issue
2025-09-08,484659715,transfer,HP Book 2.0 Model,LAP-162AEC921C,HP Book 2.0 Model,LAP-8826B867BD,HOST-4245,software,OS corruption
2024-03-28,651968433,new joiner,HP Book 2.0 Model,LAP-4F7553730C,HP Book 2.0 Model,LAP-D3D08C3F7B,HOST-4212,hardware,Performance issue
2025-11-12,186019028,transfer,Wireless Headset Cushion,WH-05160063EE,Wireless Headset Cushion,WH-B786598BA7,HOST-8046,software,User requested replacement
2025-10-25,852398388,breakfix,Dell Laptop X12 Model,LAP-81567D7D53,Dell Laptop X12 Model,LAP-824EBB5857,HOST-7776,software,Physical damage
2025-02-02,340501969,breakfix,HP Book 2.0 Model,LAP-A8F6E4F0C3,HP Book 2.0 Model,LAP-A433794F63,HOST-6254,software,User requested replacement
2024-03-24,725464884,breakfix,HP Book 2.0 Model,LAP-D0E09F6095,HP Book 2.0 Model,LAP-028A3E319F,HOST-5994,hardware,Physical damage
2024-05-03,652484481,transfer,Dell Laptop X12 Model,LAP-9772F89FD2,Dell Laptop X12 Model,LAP-CBDECED0DF,HOST-3389,software,Device not powering on
2025-05-30,691990078,breakfix,Wireless Headset Cushion,WH-C98B2DE720,Wireless Headset Cushion,WH-CA4990E6BA,HOST-7124,hardware,Device not powering on
2025-10-01,922653967,new joiner,HP Book 2.0 Model,LAP-5E7AB916D4,HP Book 2.0 Model,LAP-AD0ED61D48,HOST-1893,hardware,User requested replacement
2025-08-26,466990085,transfer,HP Book 2.0 Model,LAP-0BF02069B2,HP Book 2.0 Model,LAP-5FB89B3378,HOST-1225,software,Device not powering on
2025-03-18,245284437,transfer,HP Book 2.0 Model,LAP-1BFA5ABF2D,HP Book 2.0 Model,LAP-BDFE960DCD,HOST-8719,hardware,Physical damage
2025-06-24,232322744,new joiner,Dell Laptop X12 Model,LAP-B503628D3E,Dell Laptop X12 Model,LAP-AE1A17EE96,HOST-9814,hardware,Performance issue
2024-07-14,968704078,new joiner,Wireless Headset Cushion,WH-58F938FF18,Wireless Headset Cushion,WH-4BAFDBF1FA,HOST-5237,software,User requested replacement
2025-09-02,497206461,new joiner,JBL Wireless Headset,WH-4BC930215D,JBL Wireless Headset,WH-96B62132F0,HOST-1301,software,User requested replacement
2024-03-16,176927143,new joiner,HP Book 2.0 Model,LAP-B9ADE8473E,HP Book 2.0 Model,LAP-DD14BB057F,HOST-1712,software,Performance issue
2025-11-24,469651326,transfer,Wireless Headset Cushion,WH-8EF2A268F9,Wireless Headset Cushion,WH-A29A313A0E,HOST-4288,software,Device not powering on
2024-10-05,184564737,new joiner,Wireless Headset Cushion,WH-86EE830D9E,Wireless Headset Cushion,WH-D3F5D4D1EE,HOST-1136,hardware,OS corruption
2024-03-19,711072118,transfer,HP Book 2.0 Model,LAP-F370D66EB9,HP Book 2.0 Model,LAP-518573EFC4,HOST-6901,hardware,Device not powering on
2025-03-31,283086166,new joiner,Wireless Headset Cushion,WH-37DCD168C6,Wireless Headset Cushion,WH-231D1DC771,HOST-7332,hardware,OS corruption
2024-08-22,566609283,new joiner,HP Book 2.0 Model,LAP-D067E4F770,HP Book 2.0 Model,LAP-0557641F7B,HOST-2631,software,OS corruption
2024-05-23,614015466,new joiner,JBL Wireless Headset,WH-499192FC4F,JBL Wireless Headset,WH-D7EEB4F063,HOST-2442,hardware,Performance issue
2024-08-30,261462131,transfer,Dell Laptop X12 Model,LAP-99CF9F3D2A,Dell Laptop X12 Model,LAP-86FE2EF1AD,HOST-1352,hardware,Performance issue
2024-07-31,634443249,transfer,HP Book 2.0 Model,LAP-732CEBB7B8,HP Book 2.0 Model,LAP-18F1BDA726,HOST-6465,software,OS corruption
2025-08-17,554810443,breakfix,Dell Laptop X12 Model,LAP-5CDC840ABA,Dell Laptop X12 Model,LAP-B241446B8A,HOST-6681,software,Physical damage
2024-04-24,445973716,transfer,HP Book 2.0 Model,LAP-350052C60C,HP Book 2.0 Model,LAP-9AA8C0750C,HOST-4869,software,Device not powering on
2024-04-24,447252539,transfer,JBL Wireless Headset,WH-CB5F9FC697,JBL Wireless Headset,WH-E7991259CD,HOST-7343,hardware,User requested replacement
2025-04-13,473415078,breakfix,Dell Laptop X12 Model,LAP-9E044FF77B,Dell Laptop X12 Model,LAP-7B86E90CA1,HOST-3485,software,OS corruption
2024-03-23,946066287,breakfix,Wireless Headset Cushion,WH-4CC9D76912,Wireless Headset Cushion,WH-97B31F2B76,HOST-2438,software,User requested replacement
2024-03-01,671159367,new joiner,Dell Laptop X12 Model,LAP-B58133D61D,Dell Laptop X12 Model,LAP-1544486F8B,HOST-4726,software,Performance issue
2024-06-17,759737342,breakfix,Wireless Headset Cushion,WH-CF28230D95,Wireless Headset Cushion,WH-DAFFAA5A89,HOST-7987,software,User requested replacement
2025-02-21,539312437,transfer,Dell Laptop X12 Model,LAP-94D57A8B72,Dell Laptop X12 Model,LAP-BE6806709C,HOST-9883,hardware,Performance issue
2024-03-27,795294275,breakfix,Dell Laptop X12 Model,LAP-D3439CC4EB,Dell Laptop X12 Model,LAP-8C886BCDCD,HOST-9869,hardware,Performance issue
2025-03-14,651131533,new joiner,HP Book 2.0 Model,LAP-8C5CFFCE50,HP Book 2.0 Model,LAP-ED08CAD67A,HOST-9582,hardware,OS corruption
2025-08-29,286611097,new joiner,Dell Laptop X12 Model,LAP-5694F3BEBD,Dell Laptop X12 Model,LAP-FA01651ECC,HOST-3589,software,Device not powering on
2024-07-03,575788930,new joiner,HP Book 2.0 Model,LAP-21364892B2,HP Book 2.0 Model,LAP-3CB1FCB681,HOST-2939,hardware,Physical damage
2025-08-28,889401015,new joiner,HP Book 2.0 Model,LAP-B011C1360F,HP Book 2.0 Model,LAP-F6FEC49A8D,HOST-1483,software,OS corruption
2024-11-29,699670808,transfer,HP Book 2.0 Model,LAP-1AEEC2C6C2,HP Book 2.0 Model,LAP-4D25EA4BA6,HOST-8258,software,Performance issue
2025-07-16,958885115,breakfix,JBL Wireless Headset,WH-C295D074CB,JBL Wireless Headset,WH-6C5EF467C7,HOST-3155,hardware,Device not powering on
2024-05-08,333291033,new joiner,HP Book 2.0 Model,LAP-E7859D02B9,HP Book 2.0 Model,LAP-DACB939CAF,HOST-5372,hardware,User requested replacement
2025-06-01,864935082,breakfix,JBL Wireless Headset,WH-3570093F6A,JBL Wireless Headset,WH-6AE3F439FA,HOST-1427,software,Device not powering on
2024-02-20,242475723,transfer,HP Book 2.0 Model,LAP-E20A1DDD81,HP Book 2.0 Model,LAP-F129BB2B87,HOST-3196,software,Physical damage
2025-07-20,319497661,transfer,HP Book 2.0 Model,LAP-496122983B,HP Book 2.0 Model,LAP-D2E1D55AB4,HOST-9051,software,Performance issue
2025-08-10,769136744,breakfix,HP Book 2.0 Model,LAP-7883118939,HP Book 2.0 Model,LAP-772A69AA14,HOST-4707,hardware,OS corruption
2026-01-09,911653317,transfer,Dell Laptop X12 Model,LAP-7EB3E7E7B1,Dell Laptop X12 Model,LAP-EDDC0974DB,HOST-7767,hardware,Performance issue
2025-06-29,242071170,breakfix,HP Book 2.0 Model,LAP-F1AE97E2F6,HP Book 2.0 Model,LAP-7BFEFF960C,HOST-3901,software,User requested replacement
2024-09-10,833500385,new joiner,Dell Laptop X12 Model,LAP-E5F290E458,Dell Laptop X12 Model,LAP-A0018036CF,HOST-6323,software,Performance issue
2024-11-13,200140141,transfer,Dell Laptop X12 Model,LAP-758873551D,Dell Laptop X12 Model,LAP-D7B28A0B48,HOST-1685,software,Physical damage
2024-12-17,373506211,new joiner,Dell Laptop X12 Model,LAP-8F3CC422B8,Dell Laptop X12 Model,LAP-CABD977099,HOST-9784,hardware,User requested replacement
2025-10-05,384759615,transfer,Dell Laptop X12 Model,LAP-F1A75B2D7E,Dell Laptop X12 Model,LAP-EFA2C2EE49,HOST-8485,hardware,Performance issue
2024-08-11,489707503,new joiner,Wireless Headset Cushion,WH-F17F7B3C57,Wireless Headset Cushion,WH-85D6BF1A9A,HOST-7481,hardware,User requested replacement
2024-12-24,621997861,new joiner,JBL Wireless Headset,WH-BB166BA56D,JBL Wireless Headset,WH-1E34A115E8,HOST-1807,hardware,Physical damage
2024-10-31,499130788,transfer,Dell Laptop X12 Model,LAP-4AD1A0C21E,Dell Laptop X12 Model,LAP-894C6F15D2,HOST-5989,software,OS corruption
2025-08-07,528133274,transfer,Wireless Headset Cushion,WH-23B146B1D7,Wireless Headset Cushion,WH-3198F1B172,HOST-5823,hardware,User requested replacement
2025-09-01,259014493,transfer,Wireless Headset Cushion,WH-EDF5EAF92B,Wireless Headset Cushion,WH-DBE8A78E3C,HOST-8400,hardware,User requested replacement
2025-10-01,975507381,breakfix,HP Book 2.0 Model,LAP-444C29C2DC,HP Book 2.0 Model,LAP-A43DC75653,HOST-9952,hardware,OS corruption
2024-11-27,164331134,transfer,HP Book 2.0 Model,LAP-7F0CB4A4B1,HP Book 2.0 Model,LAP-08CCF68A0F,HOST-8387,hardware,Performance issue
2024-10-17,692269551,new joiner,HP Book 2.0 Model,LAP-7A8C65952D,HP Book 2.0 Model,LAP-5FDD9B0BC3,HOST-4308,software,Device not powering on
2025-05-13,129367590,transfer,HP Book 2.0 Model,LAP-3E6E5DB881,HP Book 2.0 Model,LAP-46DD8D796D,HOST-3686,hardware,Device not powering on
2025-09-30,710607239,new joiner,JBL Wireless Headset,WH-280F40B251,JBL Wireless Headset,WH-E73F9C44C3,HOST-8362,software,Device not powering on
2024-08-06,606244434,new joiner,JBL Wireless Headset,WH-6AE3F439FA,JBL Wireless Headset,WH-726053B6FB,HOST-7292,hardware,OS corruption
2024-07-10,352588284,transfer,JBL Wireless Headset,WH-185AC205F6,JBL Wireless Headset,WH-1C6EAE0092,HOST-1719,hardware,Physical damage
2024-06-24,683503591,new joiner,Dell Laptop X12 Model,LAP-3590A21CA0,Dell Laptop X12 Model,LAP-E8CBDD9E25,HOST-3459,hardware,Performance issue
2025-07-25,817539340,new joiner,JBL Wireless Headset,WH-21514BB6B5,JBL Wireless Headset,WH-B3FED665A5,HOST-1840,software,Physical damage
2025-03-14,422159250,new joiner,HP Book 2.0 Model,LAP-183ED75488,HP Book 2.0 Model,LAP-6189935CAD,HOST-8311,software,Performance issue
2025-09-26,429097422,breakfix,JBL Wireless Headset,WH-BE2521937A,JBL Wireless Headset,WH-F6F2E49AF4,HOST-4323,hardware,User requested replacement
2025-05-10,785637052,breakfix,JBL Wireless Headset,WH-6D2494C0A8,JBL Wireless Headset,WH-CCBCC5D583,HOST-8514,software,OS corruption
2024-07-17,926610534,breakfix,JBL Wireless Headset,WH-69F7E5CCA4,JBL Wireless Headset,WH-CFD65B8EFF,HOST-9084,hardware,Performance issue
2024-06-01,841057474,new joiner,HP Book 2.0 Model,LAP-E12837E8A3,HP Book 2.0 Model,LAP-0BD09E929F,HOST-8794,software,OS corruption
2024-10-29,319318381,breakfix,HP Book 2.0 Model,LAP-0CF1725322,HP Book 2.0 Model,LAP-47DC9D8172,HOST-1107,hardware,User requested replacement
2025-04-15,351827731,new joiner,HP Book 2.0 Model,LAP-D442A45E5F,HP Book 2.0 Model,LAP-7DB454DCC6,HOST-4401,hardware,Performance issue
2025-08-26,840034196,breakfix,JBL Wireless Headset,WH-E9820A4281,JBL Wireless Headset,WH-3B8AF5F673,HOST-6718,hardware,Performance issue
2025-12-22,916440738,new joiner,Dell Laptop X12 Model,LAP-0DD53FAFB5,Dell Laptop X12 Model,LAP-A3F1D3F45E,HOST-5889,software,Device not powering on
2025-12-05,402283096,breakfix,Dell Laptop X12 Model,LAP-54BCA6CA9B,Dell Laptop X12 Model,LAP-1815B384CC,HOST-7831,hardware,Performance issue
2024-03-07,675638242,transfer,Dell Laptop X12 Model,LAP-CA6C8043B6,Dell Laptop X12 Model,LAP-ABA36B5086,HOST-3906,software,User requested replacement
2025-01-21,277601056,breakfix,HP Book 2.0 Model,LAP-9A502EDC7A,HP Book 2.0 Model,LAP-7911F6CB73,HOST-2525,software,Physical damage
2025-01-12,876934082,transfer,HP Book 2.0 Model,LAP-D04D303739,HP Book 2.0 Model,LAP-7A8F91F574,HOST-2108,software,User requested replacement
2025-11-19,249502403,transfer,HP Book 2.0 Model,LAP-39CEE8D969,HP Book 2.0 Model,LAP-61E567D1EC,HOST-8713,hardware,Device not powering on
2024-02-13,773164268,transfer,Wireless Headset Cushion,WH-44558EF6AD,Wireless Headset Cushion,WH-8451AEF66B,HOST-6393,software,User requested replacement
2025-06-24,523398047,new joiner,Dell Laptop X12 Model,LAP-83A899FD4C,Dell Laptop X12 Model,LAP-448BC0E04D,HOST-4425,hardware,Device not powering on
2024-06-18,943666157,new joiner,Dell Laptop X12 Model,LAP-64618BB698,Dell Laptop X12 Model,LAP-D80467CE65,HOST-9666,hardware,OS corruption
2024-02-19,424474225,new joiner,HP Book 2.0 Model,LAP-805CADE0E8,HP Book 2.0 Model,LAP-E4A5944CBD,HOST-5705,software,User requested replacement
2025-03-06,302038796,transfer,JBL Wireless Headset,WH-4E2345906E,JBL Wireless Headset,WH-E3C43CB627,HOST-9608,software,Performance issue
2024-05-05,907932366,new joiner,HP Book 2.0 Model,LAP-602A4DD251,HP Book 2.0 Model,LAP-BF38408E6F,HOST-9132,software,OS corruption
2025-07-24,488149273,new joiner,JBL Wireless Headset,WH-A38B996700,JBL Wireless Headset,WH-A1072196AC,HOST-4812,software,Performance issue
2026-01-23,275571407,breakfix,Wireless Headset Cushion,WH-53DF0FFA80,Wireless Headset Cushion,WH-7BF1708ED5,HOST-1392,software,Device not powering on
2025-06-26,225572934,new joiner,HP Book 2.0 Model,LAP-4D52D43C0B,HP Book 2.0 Model,LAP-6B8EE74F8B,HOST-7793,software,Device not powering on
2025-02-17,835354265,transfer,Wireless Headset Cushion,WH-9CFE83243A,Wireless Headset Cushion,WH-31C10BA5A8,HOST-4478,hardware,Performance issue
2024-02-18,427059567,transfer,JBL Wireless Headset,WH-A4771357E4,JBL Wireless Headset,WH-4FADF908AE,HOST-5168,hardware,Physical damage
2025-03-23,909165341,new joiner,HP Book 2.0 Model,LAP-26E1E4A6C0,HP Book 2.0 Model,LAP-A61CAA6A32,HOST-6307,hardware,Device not powering on
2024-02-22,674558056,transfer,HP Book 2.0 Model,LAP-D9EF1CD705,HP Book 2.0 Model,LAP-A06D48A9D1,HOST-6592,software,User requested replacement
2024-05-04,288109614,breakfix,Dell Laptop X12 Model,LAP-B6AE0D6E5C,Dell Laptop X12 Model,LAP-5582F91537,HOST-3877,hardware,Physical damage
2025-02-12,690975123,new joiner,HP Book 2.0 Model,LAP-383CE7E18A,HP Book 2.0 Model,LAP-8B5BA5CFF6,HOST-8849,software,Device not powering on
2024-04-03,656362850,breakfix,Wireless Headset Cushion,WH-B34B394B2B,Wireless Headset Cushion,WH-94C90CE338,HOST-8888,hardware,OS corruption
2024-07-24,444733679,transfer,Wireless Headset Cushion,WH-B54FD95D2F,Wireless Headset Cushion,WH-E0C50D49EA,HOST-8577,software,Device not powering on
2024-08-09,189390303,transfer,JBL Wireless Headset,WH-726053B6FB,JBL Wireless Headset,WH-F6937903C2,HOST-6169,hardware,Performance issue
2024-06-12,979357576,new joiner,Dell Laptop X12 Model,LAP-840A4D8FD8,Dell Laptop X12 Model,LAP-5953473FD5,HOST-6434,software,Device not powering on
2025-08-25,785135687,transfer,Wireless Headset Cushion,WH-BF4659DDBC,Wireless Headset Cushion,WH-F17F7B3C57,HOST-1510,software,OS corruption
2024-04-23,766964667,new joiner,HP Book 2.0 Model,LAP-3F3C0B0736,HP Book 2.0 Model,LAP-0DE699EF24,HOST-3719,software,Performance issue
2024-05-25,793159203,breakfix,HP Book 2.0 Model,LAP-BEB0822399,HP Book 2.0 Model,LAP-1AE5722322,HOST-6050,software,Device not powering on
2025-04-21,853374076,transfer,Wireless Headset Cushion,WH-2F29727A9C,Wireless Headset Cushion,WH-85ABB0A823,HOST-2422,software,Performance issue
2025-01-09,862509565,transfer,Wireless Headset Cushion,WH-9E4D9DAF2E,Wireless Headset Cushion,WH-876F8F9618,HOST-5958,hardware,User requested replacement
2025-03-21,739018322,breakfix,Wireless Headset Cushion,WH-B8C59DB2A5,Wireless Headset Cushion,WH-23C833E7DC,HOST-2838,software,Device not powering on
2025-07-02,334553833,breakfix,Dell Laptop X12 Model,LAP-0218634F75,Dell Laptop X12 Model,LAP-452A39E45A,HOST-8270,hardware,OS corruption
2024-08-30,699238353,breakfix,HP Book 2.0 Model,LAP-109D96331B,HP Book 2.0 Model,LAP-5754EEC88A,HOST-4116,software,OS corruption
2024-08-06,848486223,transfer,JBL Wireless Headset,WH-2E302D85C6,JBL Wireless Headset,WH-CFA8888EA0,HOST-6363,hardware,Device not powering on
2024-08-14,705771555,new joiner,Dell Laptop X12 Model,LAP-395A74514C,Dell Laptop X12 Model,LAP-9E1CBA6A2F,HOST-3174,hardware,Device not powering on
2024-10-11,240957723,transfer,HP Book 2.0 Model,LAP-BE41517A3B,HP Book 2.0 Model,LAP-28A8DF0BE2,HOST-9558,hardware,Device not powering on
2025-03-12,320548167,breakfix,HP Book 2.0 Model,LAP-EFE7DBC62F,HP Book 2.0 Model,LAP-0F80667EFE,HOST-2426,software,OS corruption
2025-12-08,997078087,breakfix,Dell Laptop X12 Model,LAP-E1197C6ABD,Dell Laptop X12 Model,LAP-079EC8C586,HOST-9529,software,Device not powering on
2024-06-12,190966348,transfer,HP Book 2.0 Model,LAP-C00F27741D,HP Book 2.0 Model,LAP-8ECB45157D,HOST-4438,software,Performance issue
2025-07-11,101697496,transfer,Dell Laptop X12 Model,LAP-2B2A55B717,Dell Laptop X12 Model,LAP-BB59651D0F,HOST-5532,software,OS corruption
2024-03-08,711684318,breakfix,Wireless Headset Cushion,WH-104DB26066,Wireless Headset Cushion,WH-1875FDB1E5,HOST-5467,hardware,Performance issue
2025-04-19,364328543,breakfix,JBL Wireless Headset,WH-2D2081B1F4,JBL Wireless Headset,WH-32D476B7A4,HOST-1249,hardware,Performance issue
2024-07-18,925667446,transfer,JBL Wireless Headset,WH-EAA23C8E6D,JBL Wireless Headset,WH-B2EEF209CA,HOST-6218,software,Performance issue
2024-02-03,335445955,transfer,Wireless Headset Cushion,WH-96929478F2,Wireless Headset Cushion,WH-DC85FAFACD,HOST-5011,hardware,Device not powering on
2025-03-12,462661837,new joiner,HP Book 2.0 Model,LAP-1F12E60643,HP Book 2.0 Model,LAP-4AE009FDE4,HOST-6549,software,Device not powering on
2025-09-13,287584639,breakfix,HP Book 2.0 Model,LAP-253E44A7B2,HP Book 2.0 Model,LAP-6EEF270FCB,HOST-8712,hardware,Device not powering on
2024-12-28,614407444,breakfix,Dell Laptop X12 Model,LAP-5BB776CCD7,Dell Laptop X12 Model,LAP-11E1CFB2EC,HOST-2410,software,OS corruption
2025-07-25,892012381,new joiner,Wireless Headset Cushion,WH-57AC91ACD7,Wireless Headset Cushion,WH-DBE1ED2EB3,HOST-8304,software,Physical damage
2025-02-18,757183487,breakfix,Dell Laptop X12 Model,LAP-8CE3C969E1,Dell Laptop X12 Model,LAP-1D77174435,HOST-9740,hardware,OS corruption
2024-06-22,314643586,breakfix,HP Book 2.0 Model,LAP-19F2537530,HP Book 2.0 Model,LAP-34DA793806,HOST-2522,software,Device not powering on
2024-10-15,682535775,transfer,Wireless Headset Cushion,WH-31D061866B,Wireless Headset Cushion,WH-ED27381A8D,HOST-8625,software,Performance issue
2025-06-09,180346223,breakfix,HP Book 2.0 Model,LAP-7012B6B2E5,HP Book 2.0 Model,LAP-BF7B88A8EB,HOST-5227,software,OS corruption
2025-07-21,625679392,new joiner,Wireless Headset Cushion,WH-0177D7EC4C,Wireless Headset Cushion,WH-6CE63C92A4,HOST-6412,software,OS corruption
2024-09-12,160170716,breakfix,Dell Laptop X12 Model,LAP-53EA8D5D46,Dell Laptop X12 Model,LAP-BA34FB6A31,HOST-2070,software,Device not powering on
2025-01-30,849070816,transfer,JBL Wireless Headset,WH-E2F97C47F3,JBL Wireless Headset,WH-07B7C77BBD,HOST-8556,hardware,Physical damage
2025-02-02,612662437,new joiner,HP Book 2.0 Model,LAP-FF8BA63C04,HP Book 2.0 Model,LAP-57A2142C89,HOST-3087,hardware,OS corruption
2025-10-07,557810637,transfer,Dell Laptop X12 Model,LAP-82B6069958,Dell Laptop X12 Model,LAP-6C665D0003,HOST-2162,software,User requested replacement
2024-10-09,498784578,transfer,Dell Laptop X12 Model,LAP-632BF49784,Dell Laptop X12 Model,LAP-FD53FE9D30,HOST-7773,hardware,User requested replacement
2025-05-20,958209543,new joiner,Dell Laptop X12 Model,LAP-01BB0B3CCC,Dell Laptop X12 Model,LAP-1535F4D172,HOST-3605,software,OS corruption
2025-11-18,516032315,transfer,Wireless Headset Cushion,WH-F0BED34280,Wireless Headset Cushion,WH-4F9F94E802,HOST-4411,software,OS corruption
2024-06-23,690120616,transfer,HP Book 2.0 Model,LAP-DFB8F33A8C,HP Book 2.0 Model,LAP-EDDE0B180A,HOST-9921,hardware,Performance issue
2024-03-17,911514914,new joiner,HP Book 2.0 Model,LAP-06F036D7CD,HP Book 2.0 Model,LAP-7B264D2903,HOST-2276,software,Device not powering on
2024-05-28,790853694,new joiner,JBL Wireless Headset,WH-CE147AB2A2,JBL Wireless Headset,WH-3D06912E79,HOST-8584,software,User requested replacement
2025-10-17,108780419,transfer,Dell Laptop X12 Model,LAP-ABC437C187,Dell Laptop X12 Model,LAP-435457A943,HOST-3886,software,OS corruption
2025-11-14,680051935,new joiner,HP Book 2.0 Model,LAP-D9349315C4,HP Book 2.0 Model,LAP-2180909312,HOST-2781,software,Physical damage
2024-09-05,515652006,new joiner,Dell Laptop X12 Model,LAP-B6D8332B94,Dell Laptop X12 Model,LAP-F8F1179154,HOST-2007,hardware,Performance issue
2025-09-04,591624059,new joiner,HP Book 2.0 Model,LAP-F187E911A3,HP Book 2.0 Model,LAP-25A299B781,HOST-1003,hardware,Performance issue
2024-10-18,288047830,new joiner,Dell Laptop X12 Model,LAP-54EE09E1DC,Dell Laptop X12 Model,LAP-E775954AAD,HOST-5775,software,User requested replacement
2024-06-12,881503560,transfer,HP Book 2.0 Model,LAP-D9DD9924BC,HP Book 2.0 Model,LAP-86F302A543,HOST-4205,hardware,Physical damage
2025-03-24,918671750,new joiner,HP Book 2.0 Model,LAP-BB2372BEF3,HP Book 2.0 Model,LAP-C2D77CF473,HOST-5989,software,Physical damage
