laptop_serial_number,laptop_model,status,end_of_life
WH-167A8A15FE,Wireless Headset Cushion,issued,yes
WH-ED064B7CEA,JBL Wireless Headset,issued,yes
WH-B4AAB8A750,Wireless Headset Cushion,issued,n/a
WH-81C088F7AD,JBL Wireless Headset,issued,n/a
WH-82E2F9F285,Wireless Headset Cushion,issued,
WH-2CF436E3BA,Wireless Headset Cushion,issued,
WH-F64C54F750,Wireless Headset Cushion,issued,no
WH-3EE5EF330A,JBL Wireless Headset,issued,no
WH-B2E3F51ABA,JBL Wireless Headset,issued,yes
WH-3FAEABB878,JBL Wireless Headset,issued,yes
WH-1F38B87066,JBL Wireless Headset,issued,no
WH-9E4D9DAF2E,Wireless Headset Cushion,issued,yes
WH-B48198D600,Wireless Headset Cushion,issued,no
WH-3B1AC76D74,Wireless Headset Cushion,issued,no
WH-B7156943CA,JBL Wireless Headset,issued,
WH-7EB68D88AA,JBL Wireless Headset,issued,n/a
WH-052CC21113,Wireless Headset Cushion,issued,n/a
WH-6AB6EF0BAC,JBL Wireless Headset,issued,
WH-F03D1516A5,Wireless Headset Cushion,issued,yes
WH-87F50C816E,JBL Wireless Headset,issued,no
WH-DA9FFA8EC3,Wireless Headset Cushion,issued,
WH-073825F956,JBL Wireless Headset,issued,yes
WH-9B3903AC38,JBL Wireless Headset,issued,yes
WH-2C5744E478,Wireless Headset Cushion,issued,no
WH-BDF38DC2BD,JBL Wireless Headset,issued,no
WH-139D44FA99,JBL Wireless Headset,issued,no
WH-91F077BDE0,Wireless Headset Cushion,issued,n/a
WH-DFF369012D,Wireless Headset Cushion,issued,no
WH-25844980A5,JBL Wireless Headset,issued,
WH-4B3F3A093C,Wireless Headset Cushion,issued,yes
WH-0829484144,Wireless Headset Cushion,issued,n/a
WH-30D70B7924,Wireless Headset Cushion,issued,yes
WH-E36A733F87,JBL Wireless Headset,issued,yes
WH-38BAF7F247,Wireless Headset Cushion,issued,yes
WH-BE14857F72,JBL Wireless Headset,issued,n/a
WH-4A64166B8F,Wireless Headset Cushion,issued,yes
WH-6EBCBE1FAD,Wireless Headset Cushion,issued,n/a
WH-5BA44528A2,Wireless Headset Cushion,issued,no
WH-6A52DD497F,JBL Wireless Headset,issued,n/a
WH-F4075953E2,JBL Wireless Headset,issued,no
WH-B595623520,JBL Wireless Headset,issued,
WH-AE3BFE2E2F,JBL Wireless Headset,issued,no
WH-760E0CF46B,JBL Wireless Headset,issued,no
WH-FAB5879713,JBL Wireless Headset,issued,
WH-6FFF019D19,JBL Wireless Headset,issued,
WH-2CEA323707,JBL Wireless Headset,issued,
WH-A7A1D5032E,Wireless Headset Cushion,issued,no
WH-0AAA451FD6,Wireless Headset Cushion,issued,yes
WH-3127570B1B,JBL Wireless Headset,issued,no
WH-4DD13FC750,JBL Wireless Headset,issued,
WH-3F7EE9952E,Wireless Headset Cushion,issued,yes
WH-12E726D828,Wireless Headset Cushion,issued,no
WH-DF8068D252,Wireless Headset Cushion,issued,no
WH-EE99EE2E7E,JBL Wireless Headset,issued,no
WH-1F86E5A293,Wireless Headset Cushion,issued,yes
WH-D39AF4709A,JBL Wireless Headset,issued,
WH-E536C6A096,JBL Wireless Headset,issued,yes
WH-AE0612C25C,Wireless Headset Cushion,issued,no
WH-EEB93EA075,Wireless Headset Cushion,issued,no
WH-D72A3215BA,Wireless Headset Cushion,issued,
WH-71340FE238,JBL Wireless Headset,issued,n/a
WH-0A814AACDA,JBL Wireless Headset,issued,no
WH-4082E47C3C,JBL Wireless Headset,issued,n/a
WH-71BA0C1635,Wireless Headset Cushion,issued,
WH-19B30035EE,JBL Wireless Headset,issued,yes
WH-7599428EA3,JBL Wireless Headset,issued,
WH-6F98C0A181,Wireless Headset Cushion,issued,yes
WH-696BD045D8,Wireless Headset Cushion,issued,n/a
WH-8A97459570,JBL Wireless Headset,issued,
WH-B25A4CCB64,JBL Wireless Headset,issued,yes
WH-8AC6BBDE24,JBL Wireless Headset,issued,no
WH-8637EF90B6,JBL Wireless Headset,issued,n/a
WH-8904391DEA,Wireless Headset Cushion,issued,
WH-8888B4A9FE,JBL Wireless Headset,issued,
WH-17A99DB295,JBL Wireless Headset,issued,no
WH-A64B8A73FF,Wireless Headset Cushion,issued,no
WH-F9E1912E3C,JBL Wireless Headset,issued,
WH-7086BD7187,JBL Wireless Headset,issued,
WH-2FCF0F9977,Wireless Headset Cushion,issued,no
WH-126783632B,JBL Wireless Headset,issued,no
WH-B758C0600B,JBL Wireless Headset,issued,n/a
WH-3A02DC7623,JBL Wireless Headset,issued,
WH-9304902988,JBL Wireless Headset,issued,yes
WH-ECE2BFDD3D,JBL Wireless Headset,issued,
WH-9FF9926259,Wireless Headset Cushion,issued,yes
WH-8F6CE3AB58,JBL Wireless Headset,issued,
WH-EAB07677AE,Wireless Headset Cushion,issued,yes
WH-7B2923167E,JBL Wireless Headset,issued,yes
WH-84CED77682,JBL Wireless Headset,issued,no
WH-04FFBA549D,Wireless Headset Cushion,issued,yes
WH-9DD3031A7A,JBL Wireless Headset,issued,n/a
WH-5158C0F014,Wireless Headset Cushion,issued,n/a
WH-164DD8C33F,Wireless Headset Cushion,issued,
WH-CCA0BC2F86,Wireless Headset Cushion,issued,n/a
WH-BD098BA8C8,JBL Wireless Headset,issued,
WH-39AFD522F1,JBL Wireless Headset,issued,n/a
WH-B8ACE0CF79,JBL Wireless Headset,issued,n/a
WH-961AC539F3,JBL Wireless Headset,issued,n/a
WH-DFC834C672,JBL Wireless Headset,issued,n/a
WH-6DC24A0FEF,Wireless Headset Cushion,issued,
WH-3A714FFBBA,Wireless Headset Cushion,issued,
WH-E940358D5E,Wireless Headset Cushion,issued,
WH-D2E0D812CB,Wireless Headset Cushion,issued,no
WH-287699791F,Wireless Headset Cushion,issued,
WH-005B3A3DBA,Wireless Headset Cushion,issued,n/a
WH-400D36444D,Wireless Headset Cushion,issued,yes
WH-F58833DE87,Wireless Headset Cushion,issued,
WH-D2E6435626,Wireless Headset Cushion,issued,n/a
WH-91E4220F97,Wireless Headset Cushion,issued,yes
WH-0967F5B50E,Wireless Headset Cushion,issued,n/a
WH-0C6B35E199,JBL Wireless Headset,issued,n/a
WH-1E2E2D5722,JBL Wireless Headset,issued,n/a
WH-076B275B99,JBL Wireless Headset,issued,n/a
WH-E8C1EE444B,Wireless Headset Cushion,issued,no
WH-35743233AE,JBL Wireless Headset,issued,n/a
WH-6203580FE8,JBL Wireless Headset,issued,n/a
WH-E2BCF228B0,Wireless Headset Cushion,issued,no
WH-ADD98D34B9,Wireless Headset Cushion,issued,no
WH-7F5B118F53,Wireless Headset Cushion,issued,n/a
WH-BCEC375B67,JBL Wireless Headset,issued,n/a
WH-E0A2499DC2,Wireless Headset Cushion,issued,no
WH-2E31B45006,JBL Wireless Headset,issued,n/a
WH-98B0379444,Wireless Headset Cushion,issued,
WH-A354B26EB6,Wireless Headset Cushion,issued,n/a
WH-E6C9DC81BC,Wireless Headset Cushion,issued,n/a
WH-503738907B,Wireless Headset Cushion,issued,
WH-4BCD66AA0C,JBL Wireless Headset,issued,no
WH-BA5D8C887B,JBL Wireless Headset,issued,no
WH-2F29727A9C,Wireless Headset Cushion,issued,n/a
WH-7B54A9DFF0,Wireless Headset Cushion,issued,no
WH-6F7936E544,Wireless Headset Cushion,issued,n/a
WH-C5A71F81BD,Wireless Headset Cushion,issued,n/a
WH-E30EF70343,JBL Wireless Headset,issued,no
WH-A7DD01D0EF,JBL Wireless Headset,issued,
WH-5D51D0FB87,JBL Wireless Headset,issued,no
WH-0BA1ABFC9F,Wireless Headset Cushion,issued,yes
WH-800A1CAFF4,Wireless Headset Cushion,issued,n/a
WH-60A0256C89,Wireless Headset Cushion,issued,no
WH-295BD7E685,Wireless Headset Cushion,issued,no
WH-5B06B17F3B,JBL Wireless Headset,issued,n/a
WH-13148E6DDD,JBL Wireless Headset,issued,no
WH-7346D56456,JBL Wireless Headset,issued,
WH-8F76F8AF9A,JBL Wireless Headset,issued,n/a
WH-43E3E9569F,Wireless Headset Cushion,issued,no
WH-14BB27A945,JBL Wireless Headset,issued,
WH-C3202DE1E0,JBL Wireless Headset,issued,
WH-13188ACD3F,JBL Wireless Headset,issued,n/a
WH-F223BD469B,Wireless Headset Cushion,issued,
WH-76509E3F7A,Wireless Headset Cushion,issued,n/a
WH-CF39E7B777,Wireless Headset Cushion,issued,no
WH-14E9592103,Wireless Headset Cushion,issued,n/a
WH-C791F06284,JBL Wireless Headset,issued,yes
WH-CC95E1669B,Wireless Headset Cushion,issued,n/a
WH-1C14E8A954,Wireless Headset Cushion,issued,yes
WH-F69830D295,JBL Wireless Headset,issued,
WH-C8B6A4EECC,JBL Wireless Headset,issued,
WH-655859DB93,Wireless Headset Cushion,issued,yes
WH-01BF110E99,Wireless Headset Cushion,issued,yes
WH-BAABABFE89,Wireless Headset Cushion,issued,no
WH-0EFA1E351F,JBL Wireless Headset,issued,n/a
WH-5CDD801A89,JBL Wireless Headset,issued,
WH-623125A4D3,Wireless Headset Cushion,issued,
WH-CAAF4C2992,JBL Wireless Headset,issued,n/a
WH-7743E442D5,JBL Wireless Headset,issued,
WH-515A4394E3,Wireless Headset Cushion,issued,no
WH-B418B0C253,JBL Wireless Headset,issued,n/a
WH-FD603E8555,Wireless Headset Cushion,issued,yes
WH-AC34491E8F,Wireless Headset Cushion,issued,
WH-98A5EA822F,Wireless Headset Cushion,issued,
WH-F057895ECF,JBL Wireless Headset,issued,yes
WH-7936115785,Wireless Headset Cushion,issued,
WH-6B4D99C6FE,Wireless Headset Cushion,issued,
WH-A983019A86,Wireless Headset Cushion,issued,
WH-B095DBF340,Wireless Headset Cushion,issued,n/a
WH-7A9D94824C,JBL Wireless Headset,issued,yes
WH-F7AE0C8C7A,Wireless Headset Cushion,issued,no
WH-CB47C26D1D,JBL Wireless Headset,issued,no
WH-66E442C3D8,Wireless Headset Cushion,issued,yes
WH-A905EA68DC,JBL Wireless Headset,issued,n/a
WH-68BA8EFE78,JBL Wireless Headset,issued,yes
WH-A84551A1AF,Wireless Headset Cushion,issued,yes
WH-0A4AD37C0F,JBL Wireless Headset,issued,yes
WH-682DA4FE3A,JBL Wireless Headset,issued,n/a
WH-72F473A048,Wireless Headset Cushion,issued,yes
WH-65EC835283,Wireless Headset Cushion,issued,n/a
WH-B325C83260,Wireless Headset Cushion,issued,no
WH-9B42B207D6,Wireless Headset Cushion,issued,yes
WH-E014AA2929,Wireless Headset Cushion,issued,
WH-47848F01A9,JBL Wireless Headset,issued,no
WH-345221D591,JBL Wireless Headset,issued,yes
WH-818A481D27,Wireless Headset Cushion,issued,yes
WH-4342D27594,Wireless Headset Cushion,issued,yes
WH-5AF6677331,Wireless Headset Cushion,issued,yes
WH-427FA23356,Wireless Headset Cushion,issued,n/a
WH-FE874EFD33,Wireless Headset Cushion,issued,n/a
WH-C31FE41798,Wireless Headset Cushion,issued,n/a
WH-A4F75E6697,Wireless Headset Cushion,issued,
WH-96317FA80B,JBL Wireless Headset,issued,no
WH-F5D3522FA0,JBL Wireless Headset,issued,no
WH-E902E0AC8B,Wireless Headset Cushion,issued,no
WH-F8F768E031,Wireless Headset Cushion,issued,n/a
WH-C5C21412A0,Wireless Headset Cushion,issued,n/a
WH-A2A93BF64D,JBL Wireless Headset,issued,no
WH-91B4D51B57,Wireless Headset Cushion,issued,no
WH-832FBB15DD,JBL Wireless Headset,issued,yes
WH-2BD0C6A614,Wireless Headset Cushion,issued,n/a
WH-5173260DB8,JBL Wireless Headset,issued,no
WH-D187495EE7,Wireless Headset Cushion,issued,no
WH-EE055EA9E5,Wireless Headset Cushion,issued,
WH-F691E65292,JBL Wireless Headset,issued,no
WH-9C677B0642,JBL Wireless Headset,issued,yes
WH-CC86FC8760,Wireless Headset Cushion,issued,no
WH-F099740913,JBL Wireless Headset,issued,yes
WH-9ABC1F24FC,JBL Wireless Headset,issued,n/a
WH-1AB5965415,JBL Wireless Headset,issued,
WH-7D6D5E4D24,Wireless Headset Cushion,issued,yes
WH-68428EC712,JBL Wireless Headset,issued,yes
WH-4777175E8A,Wireless Headset Cushion,issued,no
WH-0CB73F5C0B,Wireless Headset Cushion,issued,
WH-B2C67B5805,JBL Wireless Headset,issued,no
WH-C2086C495A,Wireless Headset Cushion,issued,no
WH-26112BB9AF,Wireless Headset Cushion,issued,
WH-BA68A72279,JBL Wireless Headset,issued,no
WH-45D537A694,Wireless Headset Cushion,issued,no
WH-FA71D3C659,Wireless Headset Cushion,issued,no
WH-AC7D55D9AF,Wireless Headset Cushion,issued,n/a
WH-4A006844BC,Wireless Headset Cushion,issued,yes
WH-408507E590,JBL Wireless Headset,issued,yes
WH-CCB386C8FE,Wireless Headset Cushion,issued,no
WH-93AE04CB27,Wireless Headset Cushion,issued,n/a
WH-BAF4810E76,JBL Wireless Headset,issued,
WH-CC6F1C240F,JBL Wireless Headset,issued,
WH-71F7C5B7DA,Wireless Headset Cushion,issued,
WH-EC442F6B0B,JBL Wireless Headset,issued,no
WH-B84ACD9211,Wireless Headset Cushion,issued,no
WH-28AC313961,JBL Wireless Headset,issued,yes
WH-D5E3C02C10,Wireless Headset Cushion,issued,yes
WH-11C26F8178,JBL Wireless Headset,issued,
WH-638B59DF8B,Wireless Headset Cushion,issued,
WH-4317AB9188,Wireless Headset Cushion,issued,
WH-5989492E55,JBL Wireless Headset,issued,no
WH-FBB81DE9AD,Wireless Headset Cushion,issued,
WH-C072BABAC8,Wireless Headset Cushion,issued,
WH-82087028CD,JBL Wireless Headset,issued,yes
WH-C892885E40,Wireless Headset Cushion,issued,n/a
WH-5BDE822118,JBL Wireless Headset,issued,no
WH-D7DC4A28FB,Wireless Headset Cushion,issued,
WH-87E201D889,Wireless Headset Cushion,issued,
WH-E7DE33DC24,JBL Wireless Headset,issued,n/a
WH-03BD68AB95,Wireless Headset Cushion,issued,n/a
WH-621F975CB0,Wireless Headset Cushion,issued,yes
WH-5F881D7F5A,Wireless Headset Cushion,issued,
WH-EB9950317E,JBL Wireless Headset,issued,
WH-86CE073CBB,Wireless Headset Cushion,issued,
WH-F357A32162,Wireless Headset Cushion,issued,no
WH-7779C956A0,JBL Wireless Headset,issued,n/a
WH-B2A7D5A7A9,Wireless Headset Cushion,issued,no
WH-DD4B07C06F,Wireless Headset Cushion,issued,yes
WH-987C6507BD,JBL Wireless Headset,issued,
WH-F041E0E317,JBL Wireless Headset,issued,no
WH-9B01B49056,Wireless Headset Cushion,issued,
WH-586921A9A7,Wireless Headset Cushion,issued,no
WH-F44B01C81D,Wireless Headset Cushion,issued,no
WH-FCD9BEABDC,Wireless Headset Cushion,issued,n/a
WH-23680E38EB,JBL Wireless Headset,issued,n/a
WH-BA8DD18CD3,JBL Wireless Headset,issued,
WH-D162B9861D,Wireless Headset Cushion,issued,n/a
WH-C5C3E9D24D,Wireless Headset Cushion,issued,no
WH-B7A12DD4C1,Wireless Headset Cushion,issued,n/a
WH-62C07039FA,JBL Wireless Headset,issued,no
WH-6C00A4B4B4,JBL Wireless Headset,issued,
WH-E97E56C59C,JBL Wireless Headset,issued,
WH-D3EE38722B,JBL Wireless Headset,issued,yes
WH-7692E945B0,Wireless Headset Cushion,issued,no
WH-AA19AAEBA5,JBL Wireless Headset,issued,yes
WH-8253B3C648,JBL Wireless Headset,issued,
WH-54A850D23E,JBL Wireless Headset,issued,yes
WH-408E5C2059,JBL Wireless Headset,issued,
WH-FE7DA6830B,Wireless Headset Cushion,issued,n/a
WH-4C8F8DDDA7,Wireless Headset Cushion,issued,n/a
WH-99E8F47404,Wireless Headset Cushion,issued,
WH-6F92E6A10C,JBL Wireless Headset,issued,yes
WH-492ED87A01,Wireless Headset Cushion,issued,
WH-69534C287D,Wireless Headset Cushion,issued,
WH-AF7E83F04F,Wireless Headset Cushion,issued,
WH-CD461E0DF5,Wireless Headset Cushion,issued,
WH-B675FC9309,Wireless Headset Cushion,issued,yes
WH-F87E28B217,Wireless Headset Cushion,issued,
WH-E798CB548E,Wireless Headset Cushion,issued,n/a
WH-7FC3C46F62,JBL Wireless Headset,issued,n/a
WH-8520B89ADF,JBL Wireless Headset,issued,no
WH-8B75424362,Wireless Headset Cushion,issued,n/a
WH-50A7330113,JBL Wireless Headset,issued,n/a
WH-60B5A82C53,JBL Wireless Headset,issued,n/a
WH-4CA389E868,Wireless Headset Cushion,issued,
WH-78B710F09B,Wireless Headset Cushion,issued,no
WH-F4E138857F,Wireless Headset Cushion,issued,no
WH-0528B0BDDF,Wireless Headset Cushion,issued,no
WH-D7D99D44C7,Wireless Headset Cushion,issued,no
WH-B9DB22E75A,JBL Wireless Headset,issued,yes
WH-C59F1855C3,Wireless Headset Cushion,issued,
WH-E707C7A5F7,Wireless Headset Cushion,issued,n/a
WH-550708A962,Wireless Headset Cushion,issued,yes
WH-4AD0E8A044,Wireless Headset Cushion,issued,no
WH-F6BF8C7D3F,Wireless Headset Cushion,issued,yes
WH-73C17A5DDF,Wireless Headset Cushion,issued,no
WH-BFAE5D70AB,Wireless Headset Cushion,issued,yes
WH-D4397C5654,JBL Wireless Headset,issued,yes
WH-B3F91F3DB3,JBL Wireless Headset,issued,n/a
WH-E84E46EE71,JBL Wireless Headset,issued,yes
WH-AE15D1D50F,JBL Wireless Headset,issued,n/a
WH-E2BCC8E288,Wireless Headset Cushion,issued,
WH-51040B011D,JBL Wireless Headset,issued,no
WH-7E76AD6C90,Wireless Headset Cushion,issued,n/a
WH-21D151A0DF,JBL Wireless Headset,issued,no
WH-D405E2A1DD,Wireless Headset Cushion,issued,
WH-28B7DB9257,JBL Wireless Headset,issued,n/a
WH-13EAD984FC,Wireless Headset Cushion,issued,no
WH-7E371B25C3,JBL Wireless Headset,issued,no
WH-2A0624C55C,Wireless Headset Cushion,issued,
WH-37EF5E7B36,JBL Wireless Headset,issued,n/a
WH-317F42E78F,JBL Wireless Headset,issued,no
WH-9D5D371B22,Wireless Headset Cushion,issued,yes
WH-75AF81F055,JBL Wireless Headset,issued,no
WH-421A610500,JBL Wireless Headset,issued,yes
WH-C8CAECD485,Wireless Headset Cushion,issued,yes
WH-89D9E1E8DB,JBL Wireless Headset,issued,no
WH-D0731F41BA,Wireless Headset Cushion,issued,n/a
WH-759A571284,Wireless Headset Cushion,issued,
WH-6541FB4315,Wireless Headset Cushion,issued,
WH-EE9B192110,Wireless Headset Cushion,issued,no
WH-D903FB4B1C,JBL Wireless Headset,issued,no
WH-4F19A31CEA,JBL Wireless Headset,issued,yes
WH-4AB53351F5,Wireless Headset Cushion,issued,no
WH-54D0E1E398,JBL Wireless Headset,issued,yes
WH-0AFE6513CF,Wireless Headset Cushion,issued,yes
WH-6B92DD6579,Wireless Headset Cushion,issued,yes
WH-2E866CB85E,Wireless Headset Cushion,issued,n/a
WH-1692E66C87,Wireless Headset Cushion,issued,no
WH-D811E762F1,Wireless Headset Cushion,issued,yes
WH-9D3A322871,Wireless Headset Cushion,issued,
WH-343EE3B0EB,Wireless Headset Cushion,issued,n/a
WH-ED247649A0,JBL Wireless Headset,issued,no
WH-24A0D6D692,Wireless Headset Cushion,issued,no
WH-D6ECF49FF6,Wireless Headset Cushion,issued,no
WH-CC4A88CFA9,Wireless Headset Cushion,issued,no
WH-76F1BD84B7,JBL Wireless Headset,issued,yes
WH-2123A518B8,Wireless Headset Cushion,issued,n/a
WH-F0456F1FCC,JBL Wireless Headset,issued,no
WH-42BBBBA18D,JBL Wireless Headset,issued,n/a
WH-A660465116,Wireless Headset Cushion,issued,yes
WH-AF09FBAC8B,JBL Wireless Headset,issued,yes
WH-21275A6120,JBL Wireless Headset,issued,
WH-4BFA6D60C9,JBL Wireless Headset,issued,no
WH-D24CE51830,Wireless Headset Cushion,issued,no
WH-530CAB49D2,JBL Wireless Headset,issued,yes
WH-A7AEAF668F,JBL Wireless Headset,issued,
WH-6552F69FF6,Wireless Headset Cushion,issued,no
WH-FB9AF61C6D,JBL Wireless Headset,issued,no
WH-695352AAC1,Wireless Headset Cushion,issued,no
WH-324C16E06E,Wireless Headset Cushion,issued,n/a
WH-360E6DDA59,JBL Wireless Headset,issued,n/a
WH-D8FED7E42B,Wireless Headset Cushion,issued,
WH-9234D824DD,Wireless Headset Cushion,issued,no
WH-2D56EB2F8B,Wireless Headset Cushion,issued,
WH-9194E4C478,Wireless Headset Cushion,issued,no
WH-135064492C,JBL Wireless Headset,issued,yes
WH-DBBEF3C694,JBL Wireless Headset,issued,no
WH-3903920D2C,Wireless Headset Cushion,issued,no
WH-7938A80882,JBL Wireless Headset,issued,yes
WH-96F773FCF4,Wireless Headset Cushion,issued,yes
WH-C8F83DF85F,JBL Wireless Headset,issued,
WH-5E5A9A032D,Wireless Headset Cushion,issued,no
WH-1FD44523D6,Wireless Headset Cushion,issued,yes
WH-A38924265A,Wireless Headset Cushion,issued,n/a
WH-718962C7F3,Wireless Headset Cushion,issued,
WH-46E3467C1F,Wireless Headset Cushion,issued,
WH-E9C375934B,JBL Wireless Headset,issued,
WH-5D8E51CD29,Wireless Headset Cushion,issued,
WH-E3D499EA91,Wireless Headset Cushion,issued,
WH-CA13FBAA7D,Wireless Headset Cushion,issued,n/a
WH-594E71D9BA,Wireless Headset Cushion,issued,
WH-860E81EFAF,JBL Wireless Headset,issued,n/a
WH-2B4B400A94,Wireless Headset Cushion,issued,
WH-48AAAD4A82,JBL Wireless Headset,issued,no
WH-643CB85961,Wireless Headset Cushion,issued,
WH-FB1790E424,Wireless Headset Cushion,issued,no
WH-06498ADA0F,Wireless Headset Cushion,issued,yes
WH-F3AC6DF49B,JBL Wireless Headset,issued,no
WH-CAA7C859B9,JBL Wireless Headset,issued,yes
WH-D4CE09C01C,JBL Wireless Headset,issued,n/a
WH-9858646DF3,Wireless Headset Cushion,issued,n/a
WH-4E2345906E,JBL Wireless Headset,issued,yes
WH-500057A29C,JBL Wireless Headset,issued,
WH-FDBFE733E4,Wireless Headset Cushion,issued,
WH-21E4AAC3F9,Wireless Headset Cushion,issued,
WH-0F8632D22E,Wireless Headset Cushion,issued,n/a
WH-25F7A386AD,Wireless Headset Cushion,issued,n/a
WH-AD55B0D9A8,Wireless Headset Cushion,issued,yes
WH-7FAEAC52E9,Wireless Headset Cushion,issued,n/a
WH-25B4B1DFC8,Wireless Headset Cushion,issued,
WH-5C9B885917,JBL Wireless Headset,issued,no
WH-C481DED20D,JBL Wireless Headset,issued,yes
WH-A5D72A0FB2,Wireless Headset Cushion,issued,no
WH-337AD96A95,Wireless Headset Cushion,issued,
WH-27304D7A4D,Wireless Headset Cushion,issued,no
WH-0897F0244B,JBL Wireless Headset,issued,
WH-F13B3D3FEE,Wireless Headset Cushion,issued,no
WH-77712A6DD2,Wireless Headset Cushion,issued,n/a
WH-A11CA57AD9,JBL Wireless Headset,issued,
WH-34B167DFBA,Wireless Headset Cushion,issued,no
WH-B3FED665A5,JBL Wireless Headset,issued,no
WH-FDBA1B6138,Wireless Headset Cushion,issued,yes
WH-E025671B20,JBL Wireless Headset,issued,no
WH-B3816F9E35,JBL Wireless Headset,issued,
WH-489F654201,JBL Wireless Headset,issued,n/a
WH-BC81BBF93F,Wireless Headset Cushion,issued,
WH-52037F63F4,JBL Wireless Headset,issued,
WH-C84D53C220,JBL Wireless Headset,issued,
WH-6458D6D919,JBL Wireless Headset,issued,
WH-0AC5A2E58D,JBL Wireless Headset,issued,n/a
WH-4E6F8AFAD5,Wireless Headset Cushion,issued,no
WH-21356FBED2,Wireless Headset Cushion,issued,
WH-3A383B439D,JBL Wireless Headset,issued,no
WH-A4618F40E8,Wireless Headset Cushion,issued,
WH-E08E8B2A93,JBL Wireless Headset,issued,yes
WH-5AB032A50E,Wireless Headset Cushion,issued,no
WH-C41B30D6D0,JBL Wireless Headset,issued,no
WH-1B31D699A0,JBL Wireless Headset,issued,yes
WH-8612F517E7,JBL Wireless Headset,issued,n/a
WH-BBAD2AB300,JBL Wireless Headset,issued,n/a
WH-5FE6093A3F,Wireless Headset Cushion,issued,yes
WH-1ECCF8207B,JBL Wireless Headset,issued,n/a
WH-0E9B2F422F,JBL Wireless Headset,issued,
WH-EEB52636E1,Wireless Headset Cushion,issued,
WH-5A4EE86FDB,Wireless Headset Cushion,issued,
WH-D6E74B613C,JBL Wireless Headset,issued,yes
WH-715C89F634,JBL Wireless Headset,issued,n/a
WH-D01267E141,Wireless Headset Cushion,issued,n/a
WH-6BE4F79BC2,JBL Wireless Headset,issued,
WH-2CE92570AD,Wireless Headset Cushion,issued,yes
WH-6AD9612486,Wireless Headset Cushion,issued,
WH-634FB25BB6,JBL Wireless Headset,issued,yes
WH-FD0A9BD0DA,JBL Wireless Headset,issued,n/a
WH-CF60AFC737,Wireless Headset Cushion,issued,n/a
WH-DBC235E945,Wireless Headset Cushion,issued,no
WH-3862A27F52,Wireless Headset Cushion,issued,n/a
WH-18BD4E340D,JBL Wireless Headset,issued,no
WH-F954DBCF79,Wireless Headset Cushion,issued,yes
WH-AE1BEACFDB,JBL Wireless Headset,issued,yes
WH-BEABB983A0,Wireless Headset Cushion,issued,no
WH-85E0C78E6E,Wireless Headset Cushion,issued,n/a
WH-9E25044975,Wireless Headset Cushion,issued,yes
WH-32431EAF56,JBL Wireless Headset,issued,yes
WH-02ECC60232,Wireless Headset Cushion,issued,no
WH-918CD85951,JBL Wireless Headset,issued,n/a
WH-C5E233AF94,Wireless Headset Cushion,issued,yes
WH-DDA319FFCD,JBL Wireless Headset,issued,
WH-C8B6CC8E69,Wireless Headset Cushion,issued,
WH-5C988E1970,JBL Wireless Headset,issued,n/a
WH-BD3736C994,Wireless Headset Cushion,issued,
WH-3F549D3C1D,Wireless Headset Cushion,issued,n/a
WH-2FA0D97A1D,JBL Wireless Headset,issued,n/a
WH-F8A75C6815,JBL Wireless Headset,issued,n/a
WH-94A1FA828D,Wireless Headset Cushion,issued,n/a
WH-9207C00D45,JBL Wireless Headset,issued,yes
WH-9D1C8FA2A5,JBL Wireless Headset,issued,yes
WH-0EC330E37A,Wireless Headset Cushion,issued,
WH-177D84A355,Wireless Headset Cushion,issued,
WH-3529054FF1,JBL Wireless Headset,issued,
WH-90BED2FFC7,JBL Wireless Headset,issued,yes
WH-656F71FB1F,Wireless Headset Cushion,issued,yes
WH-DBD454BB47,JBL Wireless Headset,issued,no
WH-8CD9E3E032,Wireless Headset Cushion,issued,
WH-732FAB3FAF,JBL Wireless Headset,issued,n/a
WH-9E482B26A8,Wireless Headset Cushion,issued,
WH-704DD3CDFF,JBL Wireless Headset,issued,n/a
WH-032D3033B7,JBL Wireless Headset,issued,no
WH-D37E519E3F,JBL Wireless Headset,issued,no
WH-2022EFEA01,Wireless Headset Cushion,issued,no
WH-3EB35F5B82,JBL Wireless Headset,issued,yes
WH-77A301B825,JBL Wireless Headset,issued,
WH-A84DB30422,JBL Wireless Headset,issued,n/a
WH-95210EA9CC,Wireless Headset Cushion,issued,
WH-6122974A0B,JBL Wireless Headset,issued,no
WH-0200392044,Wireless Headset Cushion,issued,yes
WH-FE0940F6D1,Wireless Headset Cushion,issued,yes
WH-150724EC1A,Wireless Headset Cushion,issued,n/a
WH-F2C0E383D0,Wireless Headset Cushion,issued,yes
WH-948005EC08,Wireless Headset Cushion,issued,no
WH-9B2816B224,JBL Wireless Headset,issued,no
WH-C8D97A9B8A,Wireless Headset Cushion,issued,
WH-64D04E84D2,JBL Wireless Headset,issued,no
WH-979252BD4E,Wireless Headset Cushion,issued,
WH-3568BF6FD3,Wireless Headset Cushion,issued,no
WH-32A4CF7182,Wireless Headset Cushion,issued,
WH-83995E83B1,JBL Wireless Headset,issued,n/a
WH-B140ACCBB3,Wireless Headset Cushion,issued,no
WH-AF1B904DD9,Wireless Headset Cushion,issued,yes
WH-7C0ABA77D0,JBL Wireless Headset,issued,yes
